SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75096-1",4654448,1,"Bright Orange","System",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/2/4654448.jpg",424
"75096-1",4186678,1,"Bright Red","Technic",41677,"Technic Lever 2M","http://cache.lego.com/media/bricks/5/2/4186678.jpg",82
"75096-1",6206240,4,"Bright Yellow","System",31493,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/2/6206240.jpg",28
"75096-1",4614158,2,"Dark Orange","System",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/2/4614158.jpg",16
"75096-1",6058089,1,"Dark Orange","System",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/2/6058089.jpg",14
"75096-1",4209014,2,"Dark Stone Grey","System",47398,"Right Plate W. Angle 3X12","http://cache.lego.com/media/bricks/5/2/4209014.jpg",24
"75096-1",4210633,4,"Dark Stone Grey","System",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/2/4210633.jpg",348
"75096-1",4210700,3,"Dark Stone Grey","System",4733,"Brick 1X1 W. 4 Knobs","http://cache.lego.com/media/bricks/5/2/4210700.jpg",92
"75096-1",4210779,4,"Dark Stone Grey","System",42023,"Brick 1X6 W/Bow, Rev.","http://cache.lego.com/media/bricks/5/2/4210779.jpg",74
"75096-1",4210782,1,"Dark Stone Grey","System",41769,"Right Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/2/4210782.jpg",95
"75096-1",4210788,1,"Dark Stone Grey","System",41770,"Left Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/2/4210788.jpg",94
"75096-1",4210796,2,"Dark Stone Grey","System",4282,"Plate 2X16","http://cache.lego.com/media/bricks/5/2/4210796.jpg",109
"75096-1",4210862,2,"Dark Stone Grey","System",3676,"Roof Tile Corn. Invert.2X2/45°","http://cache.lego.com/media/bricks/5/2/4210862.jpg",50
"75096-1",4210873,2,"Dark Stone Grey","System",44126,"Brick 2 X 6 W. Bow","http://cache.lego.com/media/bricks/5/2/4210873.jpg",26
"75096-1",4210884,2,"Dark Stone Grey","System",44302,"Plate 1X2 W/Fork/Vertical/End","http://cache.lego.com/media/bricks/5/2/4210884.jpg",143
"75096-1",4210892,2,"Dark Stone Grey","System",44567,"Plate 1X2 W. Stub/Vertical","http://cache.lego.com/media/bricks/5/2/4210892.jpg",120
"75096-1",4210897,4,"Dark Stone Grey","System",2450,"Corner Plate 45 Deg. 3X3","http://cache.lego.com/media/bricks/5/2/4210897.jpg",67
"75096-1",4210997,5,"Dark Stone Grey","System",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/2/4210997.jpg",333
"75096-1",4211001,5,"Dark Stone Grey","System",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/2/4211001.jpg",524
"75096-1",4211002,6,"Dark Stone Grey","System",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/2/4211002.jpg",521
"75096-1",4211008,4,"Dark Stone Grey","System",4162,"Flat Tile 1X8","http://cache.lego.com/media/bricks/5/2/4211008.jpg",191
"75096-1",4211042,2,"Dark Stone Grey","System",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/2/4211042.jpg",282
"75096-1",4211043,7,"Dark Stone Grey","System",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/2/4211043.jpg",523
"75096-1",4211044,4,"Dark Stone Grey","System",4070,"Angular Brick 1X1","http://cache.lego.com/media/bricks/5/2/4211044.jpg",143
"75096-1",4211052,2,"Dark Stone Grey","System",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/2/4211052.jpg",307
"75096-1",4211055,1,"Dark Stone Grey","System",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/2/4211055.jpg",253
"75096-1",4211056,8,"Dark Stone Grey","System",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/2/4211056.jpg",392
"75096-1",4211060,2,"Dark Stone Grey","System",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/2/4211060.jpg",249
"75096-1",4211061,2,"Dark Stone Grey","System",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/2/4211061.jpg",189
"75096-1",4211064,3,"Dark Stone Grey","System",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/2/4211064.jpg",154
"75096-1",4211065,4,"Dark Stone Grey","System",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/2/4211065.jpg",620
"75096-1",4211067,2,"Dark Stone Grey","System",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/2/4211067.jpg",150
"75096-1",4211076,1,"Dark Stone Grey","System",4871,"Roof Tile 4X2/45° Inv.","http://cache.lego.com/media/bricks/5/2/4211076.jpg",79
"75096-1",4211088,14,"Dark Stone Grey","System",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/2/4211088.jpg",333
"75096-1",4211094,7,"Dark Stone Grey","System",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/2/4211094.jpg",536
"75096-1",4211098,1,"Dark Stone Grey","System",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/2/4211098.jpg",245
"75096-1",4211100,2,"Dark Stone Grey","System",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/2/4211100.jpg",195
"75096-1",4211106,2,"Dark Stone Grey","System",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/2/4211106.jpg",98
"75096-1",4211115,1,"Dark Stone Grey","System",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/2/4211115.jpg",283
"75096-1",4211122,3,"Dark Stone Grey","System",3030,"Plate 4X10","http://cache.lego.com/media/bricks/5/2/4211122.jpg",141
"75096-1",4211124,1,"Dark Stone Grey","System",30304,"Vw Scanner","http://cache.lego.com/media/bricks/5/2/4211124.jpg",39
"75096-1",4211133,10,"Dark Stone Grey","System",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/2/4211133.jpg",309
"75096-1",4211135,6,"Dark Stone Grey","System",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/2/4211135.jpg",282
"75096-1",4218696,2,"Dark Stone Grey","System",47457,"Plates W. Bows 2X2","http://cache.lego.com/media/bricks/5/2/4218696.jpg",128
"75096-1",4222042,2,"Dark Stone Grey","System",30565,"Plate 4X4, 1/4 Circle","http://cache.lego.com/media/bricks/5/2/4222042.jpg",68
"75096-1",4225873,1,"Dark Stone Grey","System",48933,"Roof Tile 4X2/18° W/Cor.","http://cache.lego.com/media/bricks/5/2/4225873.jpg",27
"75096-1",4243831,8,"Dark Stone Grey","System",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/2/4243831.jpg",274
"75096-1",4246896,8,"Dark Stone Grey","System",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/2/4246896.jpg",99
"75096-1",4260707,4,"Dark Stone Grey","System",3738,"Plate 2X8 W. Holes","http://cache.lego.com/media/bricks/5/2/4260707.jpg",47
"75096-1",4261715,4,"Dark Stone Grey","System",3297,"Roof Tile 3X4/25°","http://cache.lego.com/media/bricks/5/2/4261715.jpg",16
"75096-1",4261908,2,"Dark Stone Grey","System",30031,"Handle W. 3.18 Stick","http://cache.lego.com/media/bricks/5/2/4261908.jpg",129
"75096-1",4268409,1,"Dark Stone Grey","System",3961,"Round Plate Ø64X9.6","http://cache.lego.com/media/bricks/5/2/4268409.jpg",16
"75096-1",4278274,12,"Dark Stone Grey","System",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/2/4278274.jpg",186
"75096-1",4287972,1,"Dark Stone Grey","System",41767,"Right Brick 2X4 W/Angle","http://cache.lego.com/media/bricks/5/2/4287972.jpg",31
"75096-1",4287973,1,"Dark Stone Grey","System",41768,"Left Brick 2X4 W/Angle","http://cache.lego.com/media/bricks/5/2/4287973.jpg",29
"75096-1",4290149,7,"Dark Stone Grey","System",54384,"Left Plate 3X6 W Angle","http://cache.lego.com/media/bricks/5/2/4290149.jpg",58
"75096-1",4290150,7,"Dark Stone Grey","System",54383,"Right Plate 3X6 W. Angle","http://cache.lego.com/media/bricks/5/2/4290150.jpg",55
"75096-1",4500517,2,"Dark Stone Grey","System",6003,"Plate 6X6 W. Bow","http://cache.lego.com/media/bricks/5/2/4500517.jpg",37
"75096-1",4521187,4,"Dark Stone Grey","System",60478,"Plate 1X2 W/Shaft Ø3.2","http://cache.lego.com/media/bricks/5/2/4521187.jpg",224
"75096-1",4540386,2,"Dark Stone Grey","System",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/2/4540386.jpg",278
"75096-1",4549999,1,"Dark Stone Grey","System",60219,"Inv. Roof Tile 4X6, 3Xø4.9","http://cache.lego.com/media/bricks/5/2/4549999.jpg",64
"75096-1",4552248,4,"Dark Stone Grey","System",44570,"Roof 4X4 W. Forks","http://cache.lego.com/media/bricks/5/2/4552248.jpg",27
"75096-1",4560184,2,"Dark Stone Grey","System",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/2/4560184.jpg",137
"75096-1",4582257,2,"Dark Stone Grey","System",2462,"Facet Brick 3X3X1","http://cache.lego.com/media/bricks/5/2/4582257.jpg",18
"75096-1",4586562,2,"Dark Stone Grey","System",47397,"Left Plate W. Angle 3X12","http://cache.lego.com/media/bricks/5/2/4586562.jpg",22
"75096-1",4595708,1,"Dark Stone Grey","System",92107,"Trapdoor Frame 6X8","http://cache.lego.com/media/bricks/5/2/4595708.jpg",52
"75096-1",4595710,1,"Dark Stone Grey","System",92099,"Plate 4X5 W. Shaft Ø3.2","http://cache.lego.com/media/bricks/5/2/4595710.jpg",84
"75096-1",4620079,1,"Dark Stone Grey","System",4150,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/2/4620079.jpg",62
"75096-1",4624186,2,"Dark Stone Grey","System",87620,"Brick 2X2 W. Angle 45 Degrees","http://cache.lego.com/media/bricks/5/2/4624186.jpg",38
"75096-1",4632574,2,"Dark Stone Grey","System",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/2/4632574.jpg",181
"75096-1",6000606,2,"Dark Stone Grey","System",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/2/6000606.jpg",260
"75096-1",6018581,8,"Dark Stone Grey","System",88293,"Arch Brick 3X3X2","http://cache.lego.com/media/bricks/5/2/6018581.jpg",8
"75096-1",6029948,1,"Dark Stone Grey","System",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/2/6029948.jpg",131
"75096-1",6039699,1,"Dark Stone Grey","System",11399,"Plate 4X4 W/Vertical Holder","http://cache.lego.com/media/bricks/5/2/6039699.jpg",32
"75096-1",6048898,2,"Dark Stone Grey","System",15400,"Spring Shooter 1X4","http://cache.lego.com/media/bricks/5/2/6048898.jpg",132
"75096-1",6068029,2,"Dark Stone Grey","System",15540,"Landing Gear 1X6 W. Hole Ø4.85","http://cache.lego.com/media/bricks/5/2/6068029.jpg",16
"75096-1",6071226,2,"Dark Stone Grey","System",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/2/6071226.jpg",123
"75096-1",6071261,4,"Dark Stone Grey","System",15068,"Plate W. Bow  2X2X2/3","http://cache.lego.com/media/bricks/5/2/6071261.jpg",85
"75096-1",6079036,3,"Dark Stone Grey","System",13349,"Roof Tile 4X2/18° Inv.","http://cache.lego.com/media/bricks/5/2/6079036.jpg",19
"75096-1",6102774,2,"Dark Stone Grey","System",19954,"Hinge Plate 1X2","http://cache.lego.com/media/bricks/5/2/6102774.jpg",28
"75096-1",6116746,8,"Dark Stone Grey","System",33243,"Bow Brick 1X3X2","http://cache.lego.com/media/bricks/5/2/6116746.jpg",2
"75096-1",4210751,4,"Dark Stone Grey","Technic",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/2/4210751.jpg",113
"75096-1",6118820,1,"Light Nougat","System (Figure Part)",21730,"Mini Head No '1710'","http://cache.lego.com/media/bricks/5/2/6118820.jpg",2
"75096-1",6121680,1,"Light Nougat","System (Figure Part)",21991,"Mini Head No '1723'","http://cache.lego.com/media/bricks/5/2/6121680.jpg",2
"75096-1",4211356,4,"Medium Stone Grey","System",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/2/4211356.jpg",348
"75096-1",4211385,3,"Medium Stone Grey","System",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/2/4211385.jpg",274
"75096-1",4211393,4,"Medium Stone Grey","System",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/2/4211393.jpg",214
"75096-1",4211395,14,"Medium Stone Grey","System",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/2/4211395.jpg",601
"75096-1",4211398,29,"Medium Stone Grey","System",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/2/4211398.jpg",678
"75096-1",4211404,2,"Medium Stone Grey","System",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/2/4211404.jpg",183
"75096-1",4211406,5,"Medium Stone Grey","System",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/2/4211406.jpg",277
"75096-1",4211407,1,"Medium Stone Grey","System",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/2/4211407.jpg",139
"75096-1",4211410,1,"Medium Stone Grey","System",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/2/4211410.jpg",189
"75096-1",4211414,1,"Medium Stone Grey","System",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/2/4211414.jpg",334
"75096-1",4211421,2,"Medium Stone Grey","System",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/2/4211421.jpg",83
"75096-1",4211436,15,"Medium Stone Grey","System",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/2/4211436.jpg",231
"75096-1",4211442,3,"Medium Stone Grey","System",3702,"Technic Brick 1X8","http://cache.lego.com/media/bricks/5/2/4211442.jpg",117
"75096-1",4211443,4,"Medium Stone Grey","System",3703,"Brick 1X16, Ø4,9","http://cache.lego.com/media/bricks/5/2/4211443.jpg",51
"75096-1",4211445,6,"Medium Stone Grey","System",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/2/4211445.jpg",530
"75096-1",4211452,1,"Medium Stone Grey","System",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/2/4211452.jpg",406
"75096-1",4211462,1,"Medium Stone Grey","System",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/2/4211462.jpg",208
"75096-1",4211474,2,"Medium Stone Grey","System",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/2/4211474.jpg",72
"75096-1",4211489,4,"Medium Stone Grey","System",4287,"Roof Tile 1X3/25° Inv.","http://cache.lego.com/media/bricks/5/2/4211489.jpg",84
"75096-1",4211520,4,"Medium Stone Grey","System",6106,"Corner Plate 6X6X45°","http://cache.lego.com/media/bricks/5/2/4211520.jpg",55
"75096-1",4211570,2,"Medium Stone Grey","System",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/2/4211570.jpg",123
"75096-1",4211640,1,"Medium Stone Grey","System",32324,"4X4 Brick, Ø 4,85","http://cache.lego.com/media/bricks/5/2/4211640.jpg",70
"75096-1",4211814,8,"Medium Stone Grey","System",44567,"Plate 1X2 W. Stub/Vertical","http://cache.lego.com/media/bricks/5/2/4211814.jpg",85
"75096-1",4212007,2,"Medium Stone Grey","System",41747,"Right Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/2/4212007.jpg",17
"75096-1",4212008,2,"Medium Stone Grey","System",41748,"Left Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/2/4212008.jpg",16
"75096-1",4244627,5,"Medium Stone Grey","System",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/2/4244627.jpg",307
"75096-1",4258273,4,"Medium Stone Grey","System",50304,"Right Plate 3X8 W/Angle","http://cache.lego.com/media/bricks/5/2/4258273.jpg",62
"75096-1",4258275,4,"Medium Stone Grey","System",50305,"Left Plate 3X8 W/Angle","http://cache.lego.com/media/bricks/5/2/4258275.jpg",61
"75096-1",4260934,2,"Medium Stone Grey","System",41765,"Left Shell 2X6W/Bow/Angle,Inv","http://cache.lego.com/media/bricks/5/2/4260934.jpg",23
"75096-1",4260935,2,"Medium Stone Grey","System",41764,"Right Shell 2X6W/Bow/Angle,Inv","http://cache.lego.com/media/bricks/5/2/4260935.jpg",22
"75096-1",4505087,2,"Medium Stone Grey","System",50955,"Left Shell 3X10","http://cache.lego.com/media/bricks/5/2/4505087.jpg",26
"75096-1",4505088,2,"Medium Stone Grey","System",50956,"Right Shell 3X10","http://cache.lego.com/media/bricks/5/2/4505088.jpg",26
"75096-1",4509915,2,"Medium Stone Grey","System",30363,"Roof Tile 2X4X1, 18°","http://cache.lego.com/media/bricks/5/2/4509915.jpg",36
"75096-1",4535738,2,"Medium Stone Grey","System",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/2/4535738.jpg",157
"75096-1",4540203,1,"Medium Stone Grey","System",3679,"Turn Plate 2X2, Upper Part","http://cache.lego.com/media/bricks/5/2/4540203.jpg",346
"75096-1",4560183,6,"Medium Stone Grey","System",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/2/4560183.jpg",240
"75096-1",4598526,3,"Medium Stone Grey","System",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/2/4598526.jpg",246
"75096-1",4645412,2,"Medium Stone Grey","System",30357,"Plate 3X3, 1/4 Circle","http://cache.lego.com/media/bricks/5/2/4645412.jpg",13
"75096-1",4646513,2,"Medium Stone Grey","System",98286,"Hinge Pl.Top 2X4 W.Ø4.85Hole","http://cache.lego.com/media/bricks/5/2/4646513.jpg",65
"75096-1",4654582,2,"Medium Stone Grey","System",99781,"Angular Plate 1,5 Top 1X2 1/2","http://cache.lego.com/media/bricks/5/2/4654582.jpg",256
"75096-1",4657459,13,"Medium Stone Grey","System",52107,"Brick 1X2 W. Four Knobs","http://cache.lego.com/media/bricks/5/2/4657459.jpg",32
"75096-1",6004990,2,"Medium Stone Grey","System",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/2/6004990.jpg",112
