SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75100-1",302421,2,"Bright Red","System",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/2/302421.jpg",234
"75100-1",6196217,2,"Bright Red","System",31493,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/2/6196217.jpg",23
"75100-1",4513174,3,"Bright Red","Technic",59443,"Cross Axle, Extension, 2M","http://cache.lego.com/media/bricks/5/2/4513174.jpg",129
"75100-1",4201615,2,"Bright Yellow","System",32000,"Brick 1X2 M. 2 Holes Ø 4,87","http://cache.lego.com/media/bricks/5/2/4201615.jpg",46
"75100-1",4239601,4,"Bright Yellow","Technic",32123,"1/2 Bush","http://cache.lego.com/media/bricks/5/2/4239601.jpg",379
"75100-1",4107736,2,"Dark Green","System",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/2/4107736.jpg",296
"75100-1",4210631,9,"Dark Stone Grey","System",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/2/4210631.jpg",501
"75100-1",4210635,8,"Dark Stone Grey","System",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/2/4210635.jpg",236
"75100-1",4210678,1,"Dark Stone Grey","System",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/2/4210678.jpg",207
"75100-1",4210917,2,"Dark Stone Grey","System",3894,"Technic Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/2/4210917.jpg",106
"75100-1",4210998,1,"Dark Stone Grey","System",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/2/4210998.jpg",272
"75100-1",4211053,1,"Dark Stone Grey","System",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/2/4211053.jpg",308
"75100-1",4211065,4,"Dark Stone Grey","System",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/2/4211065.jpg",620
"75100-1",4211103,1,"Dark Stone Grey","System",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/2/4211103.jpg",259
"75100-1",4211122,2,"Dark Stone Grey","System",3030,"Plate 4X10","http://cache.lego.com/media/bricks/5/2/4211122.jpg",141
"75100-1",4213607,2,"Dark Stone Grey","System",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/2/4213607.jpg",151
"75100-1",4227398,1,"Dark Stone Grey","System",3709,"Plate 2X4, 3Xø4.9","http://cache.lego.com/media/bricks/5/2/4227398.jpg",96
"75100-1",4260707,1,"Dark Stone Grey","System",3738,"Plate 2X8 W. Holes","http://cache.lego.com/media/bricks/5/2/4260707.jpg",47
"75100-1",4278274,2,"Dark Stone Grey","System",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/2/4278274.jpg",186
"75100-1",4520307,3,"Dark Stone Grey","System",61780,"Box 2X2X2","http://cache.lego.com/media/bricks/5/2/4520307.jpg",63
"75100-1",4529727,1,"Dark Stone Grey","System",50304,"Right Plate 3X8 W/Angle","http://cache.lego.com/media/bricks/5/2/4529727.jpg",37
"75100-1",4529728,1,"Dark Stone Grey","System",50305,"Left Plate 3X8 W/Angle","http://cache.lego.com/media/bricks/5/2/4529728.jpg",35
"75100-1",4549886,2,"Dark Stone Grey","System",60208,"Turbine Ø31,37 W.Holes Ø 4,85","http://cache.lego.com/media/bricks/5/2/4549886.jpg",33
"75100-1",4560184,3,"Dark Stone Grey","System",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/2/4560184.jpg",137
"75100-1",4561036,2,"Dark Stone Grey","System",43719,"Plate 4X4 W/Angle","http://cache.lego.com/media/bricks/5/2/4561036.jpg",44
"75100-1",4581225,4,"Dark Stone Grey","System",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/2/4581225.jpg",97
"75100-1",4587212,3,"Dark Stone Grey","System",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/2/4587212.jpg",176
"75100-1",4648067,4,"Dark Stone Grey","System",93274,"Angle Plate 1X2 / 2X4","http://cache.lego.com/media/bricks/5/2/4648067.jpg",39
"75100-1",6000606,6,"Dark Stone Grey","System",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/2/6000606.jpg",260
"75100-1",6019987,1,"Dark Stone Grey","System",11458,"Plade 1X2 M. Van. Hul Ø 4,8","http://cache.lego.com/media/bricks/5/2/6019987.jpg",216
"75100-1",6047417,2,"Dark Stone Grey","System",10247,"Plate 2X2 + One Hule Ø4,8","http://cache.lego.com/media/bricks/5/2/6047417.jpg",85
"75100-1",6051334,1,"Dark Stone Grey","System",15392,"Trigger For Mini Shooter","http://cache.lego.com/media/bricks/5/2/6051334.jpg",193
"75100-1",6117972,2,"Dark Stone Grey","System",21712,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/2/6117972.jpg",183
"75100-1",4210753,1,"Dark Stone Grey","Technic",32526,"Technic Ang. Beam 3X5 90 Deg.","http://cache.lego.com/media/bricks/5/2/4210753.jpg",89
"75100-1",6021888,3,"Light Nougat","System (Figure Part)",12817,"Mini Head No. '1149'","http://cache.lego.com/media/bricks/5/2/6021888.jpg",74
"75100-1",4211356,2,"Medium Stone Grey","System",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/2/4211356.jpg",348
"75100-1",4211361,6,"Medium Stone Grey","System",2450,"Corner Plate 45 Deg. 3X3","http://cache.lego.com/media/bricks/5/2/4211361.jpg",55
"75100-1",4211393,4,"Medium Stone Grey","System",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/2/4211393.jpg",214
"75100-1",4211394,3,"Medium Stone Grey","System",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/2/4211394.jpg",291
"75100-1",4211396,16,"Medium Stone Grey","System",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/2/4211396.jpg",482
"75100-1",4211397,2,"Medium Stone Grey","System",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/2/4211397.jpg",580
"75100-1",4211398,24,"Medium Stone Grey","System",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/2/4211398.jpg",678
"75100-1",4211399,4,"Medium Stone Grey","System",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/2/4211399.jpg",260
"75100-1",4211410,2,"Medium Stone Grey","System",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/2/4211410.jpg",189
"75100-1",4211413,5,"Medium Stone Grey","System",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/2/4211413.jpg",284
"75100-1",4211414,4,"Medium Stone Grey","System",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/2/4211414.jpg",334
"75100-1",4211415,2,"Medium Stone Grey","System",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/2/4211415.jpg",175
"75100-1",4211428,1,"Medium Stone Grey","System",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/2/4211428.jpg",221
"75100-1",4211429,2,"Medium Stone Grey","System",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/2/4211429.jpg",325
"75100-1",4211438,9,"Medium Stone Grey","System",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/2/4211438.jpg",377
"75100-1",4211445,7,"Medium Stone Grey","System",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/2/4211445.jpg",530
"75100-1",4211452,6,"Medium Stone Grey","System",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/2/4211452.jpg",406
"75100-1",4211461,2,"Medium Stone Grey","System",3831,"Hinge 1X2 Lower Part","http://cache.lego.com/media/bricks/5/2/4211461.jpg",51
"75100-1",4211486,3,"Medium Stone Grey","System",4282,"Plate 2X16","http://cache.lego.com/media/bricks/5/2/4211486.jpg",116
"75100-1",4211488,2,"Medium Stone Grey","System",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/2/4211488.jpg",90
"75100-1",4211489,2,"Medium Stone Grey","System",4287,"Roof Tile 1X3/25° Inv.","http://cache.lego.com/media/bricks/5/2/4211489.jpg",84
"75100-1",4211549,4,"Medium Stone Grey","System",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/2/4211549.jpg",264
