SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75060-1",4529236,2,"Black","System",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/2/4529236.jpg",221
"75060-1",4541191,4,"Black","System",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/2/4541191.jpg",168
"75060-1",4556158,12,"Black","System",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/2/4556158.jpg",260
"75060-1",4558954,10,"Black","System",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/2/4558954.jpg",157
"75060-1",4598897,2,"Black","System",64567,"Light Sword Shaft","http://cache.lego.com/media/bricks/5/2/4598897.jpg",143
"75060-1",4603646,1,"Black","System",90498,"Flat Tile 8X16","http://cache.lego.com/media/bricks/5/2/4603646.jpg",16
"75060-1",4609050,1,"Black","System",92738,"Blaster Small","http://cache.lego.com/media/bricks/5/2/4609050.jpg",98
"75060-1",4647286,4,"Black","System",93606,"Brick W. Bow 2X4","http://cache.lego.com/media/bricks/5/2/4647286.jpg",49
"75060-1",4659662,2,"Black","System",95199,"Mini Spacegun W.Rib Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/2/4659662.jpg",22
"75060-1",6001494,2,"Black","System",91988,"Plate 2X14","http://cache.lego.com/media/bricks/5/2/6001494.jpg",29
"75060-1",6012983,1,"Black","System",76766,"Bottom 2X5X2 1/3","http://cache.lego.com/media/bricks/5/2/6012983.jpg",43
"75060-1",6020193,6,"Black","System",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/2/6020193.jpg",184
"75060-1",6053077,6,"Black","System",15068,"Plate W. Bow  2X2X2/3","http://cache.lego.com/media/bricks/5/2/6053077.jpg",134
"75060-1",6056234,4,"Black","System",11610,"Cone 1X1 Invertede W. Shaft","http://cache.lego.com/media/bricks/5/2/6056234.jpg",32
"75060-1",6081988,8,"Black","System",18274,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/2/6081988.jpg",198
"75060-1",6117973,8,"Black","System",21712,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/2/6117973.jpg",168
"75060-1",6170702,2,"Black","System",28973,"Ang.Brick 5X5, Ø4,85","http://cache.lego.com/media/bricks/5/2/6170702.jpg",14
"75060-1",6184784,8,"Black","System",32807,"Brick 1X1X1 1/3, W/ Arch","http://cache.lego.com/media/bricks/5/2/6184784.jpg",37
"75060-1",4295400,1,"Black","System (Printed Part)",56570,"Roof Tile 2X2 No. '14'","http://cache.lego.com/media/bricks/5/2/4295400.jpg",44
"75060-1",4551168,1,"Black","System (Printed Part)",86665,"Roof Tile 2X2 No. 15","http://cache.lego.com/media/bricks/5/2/4551168.jpg",20
"75060-1",6021512,1,"Black","System (Printed Part)",42125,"Dækplade 1X2 'Nr. 70'","http://cache.lego.com/media/bricks/5/2/6021512.jpg",61
"75060-1",370626,4,"Black","Technic",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/2/370626.jpg",770
"75060-1",370826,1,"Black","Technic",3708,"Cross Axle 12M","http://cache.lego.com/media/bricks/5/2/370826.jpg",358
"75060-1",4111998,2,"Black","Technic",32009,"Double Angular Beam 3X7 45°","http://cache.lego.com/media/bricks/5/2/4111998.jpg",119
"75060-1",4119589,4,"Black","Technic",32138,"Module Bush","http://cache.lego.com/media/bricks/5/2/4119589.jpg",212
"75060-1",4120017,2,"Black","Technic",32140,"Technic Ang. Beam 4X2 90 Deg","http://cache.lego.com/media/bricks/5/2/4120017.jpg",238
"75060-1",4121715,103,"Black","Technic",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/2/4121715.jpg",1828
"75060-1",4142135,4,"Black","Technic",32316,"Technic 5M Beam","http://cache.lego.com/media/bricks/5/2/4142135.jpg",225
"75060-1",4142822,2,"Black","Technic",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/2/4142822.jpg",192
"75060-1",4142823,2,"Black","Technic",32526,"Technic Ang. Beam 3X5 90 Deg.","http://cache.lego.com/media/bricks/5/2/4142823.jpg",142
"75060-1",4164133,2,"Black","Technic",41677,"Technic Lever 2M","http://cache.lego.com/media/bricks/5/2/4164133.jpg",164
"75060-1",4184169,2,"Black","Technic",6628,"Ball With Friction Snap","http://cache.lego.com/media/bricks/5/2/4184169.jpg",388
"75060-1",4542573,8,"Black","Technic",64871,"Technic 15M Beam","http://cache.lego.com/media/bricks/5/2/4542573.jpg",133
"75060-1",6124733,2,"Black","Technic",19159,"Dbl.Snap 2M. W/2 X Ø3.2 Holder","http://cache.lego.com/media/bricks/5/2/6124733.jpg",19
"75060-1",6173119,2,"Black","Technic",29219,"Tube, W/ Double 4.85 Hole","http://cache.lego.com/media/bricks/5/2/6173119.jpg",63
"75060-1",4113916,1,"Brick Yellow","System",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/2/4113916.jpg",179
"75060-1",4113988,2,"Brick Yellow","System",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/2/4113988.jpg",103
"75060-1",4114077,11,"Brick Yellow","System",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/2/4114077.jpg",103
"75060-1",4114319,5,"Brick Yellow","System",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/2/4114319.jpg",162
"75060-1",4114324,2,"Brick Yellow","System",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/2/4114324.jpg",95
"75060-1",4118790,32,"Brick Yellow","System",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/2/4118790.jpg",197
"75060-1",4121921,8,"Brick Yellow","System",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/2/4121921.jpg",135
"75060-1",4217562,12,"Brick Yellow","System",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/2/4217562.jpg",82
"75060-1",4249019,2,"Brick Yellow","System",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/2/4249019.jpg",61
"75060-1",4278422,5,"Brick Yellow","System",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/2/4278422.jpg",97
"75060-1",4615599,1,"Brick Yellow","System",92538,"Brick 2X10","http://cache.lego.com/media/bricks/5/2/4615599.jpg",16
"75060-1",6013081,2,"Brick Yellow","System",11203,"Flat Tile 2X2 Inv.","http://cache.lego.com/media/bricks/5/2/6013081.jpg",29
"75060-1",6024495,2,"Brick Yellow","System",11211,"Brick 1X2 W. 2 Knobs","http://cache.lego.com/media/bricks/5/2/6024495.jpg",124
"75060-1",4565452,4,"Brick Yellow","Technic",6589,"Conical Wheel Z12","http://cache.lego.com/media/bricks/5/2/4565452.jpg",165
"75060-1",4666579,2,"Brick Yellow","Technic",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/2/4666579.jpg",687
"75060-1",302423,6,"Bright Blue","System",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/2/302423.jpg",105
"75060-1",370123,2,"Bright Blue","System",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/2/370123.jpg",50
"75060-1",403223,3,"Bright Blue","System",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/2/403223.jpg",110
"75060-1",9341,1,"Bright Blue","System (Figure Part)",73200,"Mini Body Lowerpart Blue","http://cache.lego.com/media/bricks/5/2/9341.jpg",405
"75060-1",6086654,1,"Bright Blue","System (Figure Part)",16497,"Hat No. 21","http://cache.lego.com/media/bricks/5/2/6086654.jpg",2
"75060-1",6087541,1,"Bright Blue","System (Figure Part)",76382,"Mini Upper Part No 2810","http://cache.lego.com/media/bricks/5/2/6087541.jpg",2
"75060-1",4143005,6,"Bright Blue","Technic",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/2/4143005.jpg",643
"75060-1",4206482,17,"Bright Blue","Technic",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/2/4206482.jpg",1261
"75060-1",4514553,23,"Bright Blue","Technic",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/2/4514553.jpg",642
"75060-1",4153826,1,"Bright Orange","System",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/2/4153826.jpg",70
"75060-1",4654448,1,"Bright Orange","System",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/2/4654448.jpg",424
"75060-1",614321,2,"Bright Red","System",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/2/614321.jpg",135
"75060-1",4107824,4,"Bright Red","Technic",6632,"Technic Lever 3M","http://cache.lego.com/media/bricks/5/2/4107824.jpg",58
"75060-1",4140806,16,"Bright Red","Technic",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/2/4140806.jpg",214
